id,unique_column_id,file_number,purpose,type,application_type,assignee,assignor,transferor,transferee,lessee,licensee,sublessee,call_sign,rsc,action_date,commencement_date,action,pdf_filename,report_number,d_o_r
358,0010798549-LE-L000046058-2023-12-01-Q-18222-2023-12-06-,0010798549,LE,"Spectrum Manager Lease","De Facto Transfer Lease Applications and Spectrum Manager Lease Notifications Action",NULL,NULL,NULL,NULL,"MITRE Engenuity, LLC","Cellco Partnership",NULL,L000046058,AT,2023-12-01,NULL,Q,NULL,18222,2023-12-06
359,0010702998-LN-KNLB262-2023-11-30-G-18222-2023-12-06-,0010702998,LN,"De Facto Transfer Lease","De Facto Transfer Lease Applications and Spectrum Manager Lease Notifications Action",NULL,NULL,NULL,NULL,Trace-Tek,"AT&T Spectrum Frontiers LLC",NULL,KNLB262,"PK, WS",2023-11-30,NULL,G,NULL,18222,2023-12-06
360,0010703668-LN-KNLB225-2023-11-30-G-18222-2023-12-06-,0010703668,LN,"De Facto Transfer Lease","De Facto Transfer Lease Applications and Spectrum Manager Lease Notifications Action",NULL,NULL,NULL,NULL,Trace-Tek,"AT&T Spectrum Frontiers LLC",NULL,KNLB225,"PK, WS",2023-11-30,NULL,G,NULL,18222,2023-12-06
361,0010704406-LN-KNLB230-2023-11-30-G-18222-2023-12-06-,0010704406,LN,"De Facto Transfer Lease","De Facto Transfer Lease Applications and Spectrum Manager Lease Notifications Action",NULL,NULL,NULL,NULL,Trace-Tek,"New Cingular Wireless Services, Inc.",NULL,KNLB230,"PK, WS",2023-11-30,NULL,G,NULL,18222,2023-12-06
362,0010704529-LN-WPWU992-2023-11-30-G-18222-2023-12-06-,0010704529,LN,"De Facto Transfer Lease","De Facto Transfer Lease Applications and Spectrum Manager Lease Notifications Action",NULL,NULL,NULL,NULL,Trace-Tek,"FIBERTOWER SPECTRUM HOLDINGS LLC",NULL,WPWU992,WY,2023-11-30,NULL,G,NULL,18222,2023-12-06
363,0010791598-LE-L000050006-2023-11-29-G-18222-2023-12-06-,0010791598,LE,"De Facto Transfer Lease","De Facto Transfer Lease Applications and Spectrum Manager Lease Notifications Action",NULL,NULL,NULL,NULL,"MCGOWAN RADIO ONE LLC","PDV Spectrum Holding Company, LLC",NULL,L000050006,"IG, YG",2023-11-29,NULL,G,NULL,18222,2023-12-06
364,0010629721-LN-WPWU991-2023-11-30-G-18222-2023-12-06-,0010629721,LN,"De Facto Transfer Lease","De Facto Transfer Lease Applications and Spectrum Manager Lease Notifications Action",NULL,NULL,NULL,NULL,Trace-Tek,"AT&T Mobility Spectrum LLC",NULL,WPWU991,"AW, CW, WZ",2023-11-30,NULL,G,NULL,18222,2023-12-06
365,0010574730-AM-KNLF226-2023-11-30-G-18222-2023-12-06-,0010574730,AM,"De Facto Transfer Lease","De Facto Transfer Lease Applications and Spectrum Manager Lease Notifications Action",NULL,NULL,NULL,NULL,"Screened Images, Inc.","Cellco Partnership",NULL,KNLF226,AT,2023-11-30,NULL,G,NULL,18222,2023-12-06
366,0010666383-LN-KNLF234-2023-11-30-G-18222-2023-12-06-,0010666383,LN,"De Facto Transfer Lease","De Facto Transfer Lease Applications and Spectrum Manager Lease Notifications Action",NULL,NULL,NULL,NULL,Trace-Tek,"Cellco Partnership",NULL,KNLF234,"AT, AW, CW, WU",2023-11-30,NULL,G,NULL,18222,2023-12-06
367,0010599674-LN-KNLB316-2023-11-30-G-18222-2023-12-06-,0010599674,LN,"De Facto Transfer Lease","De Facto Transfer Lease Applications and Spectrum Manager Lease Notifications Action",NULL,NULL,NULL,NULL,Trace-Tek,"New Cingular Wireless PCS, LLC",NULL,KNLB316,"AW, CW, WS, WY",2023-11-30,NULL,G,NULL,18222,2023-12-06
